_id,name_en,name_kn
159,Sugar can(small) 1 No.,ಕಬ್ಬು (ಚಿಕ್ಕದು)
160,MUSHROOM BUTTON,ಅಣಬೆ ಬಟನ್
161,MUSHROOM MILKY,ಮಸ್ರುಮ್ ಮಿಲ್ಕಿ
162,MUSHROOM OYSTER,ಹೊಸ್ಟರ್
163,ONION ECONOMY,ಈರುಳ್ಳಿ ಮಧ್ಯಮ
164,BRINJAL WHITE ROUND,ಬದನೆಕಾಯಿ ಬಿಳಿ ದುಂಡು
165,ONION SMALL Economy,ಈರುಳ್ಳಿ ಸಣ್ಣ ಮಿತವ್ಯಯ
166,ONION SAMBAR,ಸಾಂಬಾರ್ ಈರುಳ್ಳಿ
167,PEAS NATI,ಬಟಾಣಿ (ನಾಟಿ)
168,ALASINA KAI,ಹಲಸಿನಕಾಯಿ
169,PEAS DHARWAD,ಬಟಾಣಿ
170,PEAS JABALPUR,ಬಟಾಣಿ ಜಬಲ್ ಪುರ್
171,ASH PUMPKIN,ಬೂದುಗುಂಬಳ
172,PUMPKIN SWEET,ಸಿಹಿಕುಂಬಳ
173,PUMPKIN JAPAN,ಜಪಾನ್ ಸಿಹಿಕುಂಬಳ
174,POTATO MEDIUM,ಆಲೂಗಡ್ಡೆ
175,POTATO BIG,ಆಲೂಗಡ್ಡೆ ದೊಡ್ಡದು
176,POTATO SMALL,ಆಲೂಗಡ್ಡೆ ಸಣ್ಣದು
177,POTATO BABY,ಆಲೂಗಡ್ಡೆ ಬೇಬಿ
178,SWEET POTATO,ಗೆಣಸು
179,RADDISH,ಮೂಲಂಗಿ
180,RADDISH - RED,ಮೂಲಂಗಿ ಕೆಂಪು
181,SPONGE GOURD,ಹೀರೇಕಾಯಿ
182,SNAKE GOURD,ಪಡವಲಕಾಯಿ
183,SNAKE SMALL,ಪಡವಲಕಾಯಿ ಚಿಕ್ಕದು
184,SHAM GADDE,ಶಾಮಗಡ್ಡೆ
185,SPRING ONION,ಸ್ಪ್ರಿಂಗ್ ಆನಿಯನ್
186,SPRING ONION CLEANED,ಸ್ವಚ್ಛವಾದ ಎಳಸು ಈರುಳ್ಳಿ
187,CORN,ಸ್ವೀಟ್‍ಕಾರನ್
188,SWEET CORN CLEANED,ಸ್ವೀಟ್‍ ಕಾರನ್ ಶುದ್ದವಾದ ಬೀಜ
189,SWEET CORN SEED SPOK,ಸ್ವೀಟ್ ಕಾರ್ನ್ ಸೀಡ್ ಸ್ಪೋಕ್
190,TOMATO,ಟೊಮೆಟೋ
191,THOGARIKAI,ತೊಗರಿಕಾಯಿ
192,MANGO RAW OMBLET,ಮ್ಯಾಂಗೋ ರಾ ಆಮ್ಲೆಟ್
193,MANGO RAW,ಮಾವಿನಕಾಯಿ
194,JUKUNI,ಜುಕುನಿ/ಪಾಕ್‍ಛಾಯಿ
195,BANANNA COOKING,ಅಡಿಗೆಬಾಳೆ
196,AVAREKAI,ಅವರೇಕಾಯಿ
197,AVAREBELE,ಅವರೇಬೇಳೆ
198,AVARE SEEDS,ಅವರೇ ಬೀಜಗಳು
199,BRUCOLI,ಬ್ರುಕೋಲಿ
200,KAKADI,ಕಾಕಡಿ
201,CORIONDER,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು
202,CURRY LEAVES,ಕರಿಬೇವು
203,DHANTU,ದಂಟಿನ ಸೊಪ್ಪು
204,MINT,ಪುದೀನ
205,MENTHIYA,ಮೆಂತ್ಯ ಸೊಪ್ಪು
206,PALAK,ಪಾಲಾಕ್ ಸೊಪ್ಪು
207,PARVAL,ಪರ್ವಾಲ್
208,SABBAKKAI,ಸಬ್ಬಕ್ಕಿ ಸೊಪ್ಪು
209,MOLAKE KALU,ಕಾಳುಗಳು
210,HESARU KALU,ಮೊಳಕೆ ಹೆಸರುಕಾಳು
211,BATANI KALU,ಬಾಟಾಣಿ ಕಾಳು
212,BALE DINDU,ಬಾಳೆದಿಂಡು
